ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
BPCL,2022-12-07,2022-12-28,139.28,137.28,1522,212196.14,0.561,134.84,-3044.0,-3673.86,-1.73,21,ema_reversal
JSL,2022-12-22,2022-12-29,206.69,235.57,499,103241.45,0.6959,192.25,14411.12,14072.88,13.63,7,target_hit
TITAGARH,2022-12-23,2022-12-29,189.55,220.39,536,101700.4,0.6655,174.13,16530.24,16192.38,15.92,6,target_hit
KALYANKJIL,2022-12-27,2023-01-23,123.99,118.93,814,101028.79,0.6642,113.09,-4118.84,-4413.39,-4.37,27,ema_reversal
KEC,2023-01-06,2023-01-25,468.19,457.41,330,154657.2,0.5767,446.14,-3557.4,-4013.79,-2.6,19,ema_reversal
EQUITASBNK,2023-01-10,2023-01-25,56.0,52.78,2328,130498.37,0.601,52.78,-7496.16,-7872.27,-6.03,15,stop_loss
PFC,2023-01-17,2023-01-25,103.48,99.27,1502,155582.39,0.5837,99.27,-6323.42,-6777.05,-4.36,8,stop_loss
TITAGARH,2023-01-16,2023-01-27,221.97,209.52,695,154423.42,0.676,209.52,-8652.75,-9098.25,-5.89,11,stop_loss
UCOBANK,2023-01-16,2023-01-27,29.75,27.5,4318,128588.96,0.5982,27.5,-9715.5,-10081.45,-7.84,11,stop_loss
JSL,2023-01-10,2023-02-21,236.53,269.52,661,156502.68,0.693,223.34,21806.39,21293.74,13.61,42,target_hit
EQUITASBNK,2023-03-13,2023-03-14,65.53,60.01,1289,84552.64,0.6799,60.01,-7115.28,-7354.45,-8.7,1,stop_loss
AUBANK,2023-04-25,2023-04-26,664.25,638.11,189,125668.79,0.5758,638.11,-4940.46,-5307.21,-4.22,1,stop_loss
PFC,2023-04-20,2023-05-04,113.4,124.34,1332,151199.85,0.5927,109.02,14572.08,14089.79,9.32,14,target_hit
USHAMART,2023-04-26,2023-05-04,206.11,229.63,814,167941.31,0.6108,194.35,19145.28,18603.67,11.08,8,target_hit
JSL,2023-04-24,2023-05-08,264.9,288.15,567,150348.5,0.5902,252.16,13182.75,12705.79,8.45,14,sector_rotation
EQUITASBNK,2023-04-25,2023-05-08,67.19,76.3,1872,125905.46,0.5859,63.54,17053.92,16642.47,13.22,13,target_hit
JBMA,2023-05-05,2023-05-10,393.82,372.07,448,176607.79,0.6616,372.07,-9744.0,-10253.81,-5.81,5,stop_loss
DLF,2023-04-26,2023-05-15,401.79,431.88,502,201900.28,0.6005,386.75,15105.18,14469.87,7.17,19,target_hit
