Ticker,Total_Rows,Feature_Rows,NaN_target_rows,Any_warnings,Status
ENGINERSIN,1236,1176,10,,OK
EQUITASBNK,1236,1176,10,,OK
ESTER,1236,1176,10,,OK
EVEREADY,1235,1175,10,,OK
EXICOM,510,450,10,,OK
FINCABLES,1236,1176,10,,OK
FINPIPE,1235,1175,10,,OK
FIVESTAR,829,769,10,,OK
FORCEMOT,1195,1135,10,,OK
FORTIS,1236,1176,10,,OK
GALLANTT,1235,1175,10,,OK
GHCL,1236,1176,10,,OK
GLAXO,1236,1176,10,,OK
GODREJIND,1236,1176,10,,OK
GOKEX,1236,1176,10,,OK
GPPL,1236,1176,10,,OK
GRINDWELL,1236,1176,10,,OK
GSFC,1236,1176,10,,OK
GSPL,1235,1175,10,,OK
GUJGASLTD,1235,1175,10,,OK
HAPPSTMNDS,1236,1176,10,,OK
HAVELLS,1236,1176,10,,OK
HBLPOWER,0,0,0,no raw data,ERROR
HFCL,1236,1176,10,,OK
HIKAL,1235,1175,10,,OK
HINDCOPPER,1236,1176,10,,OK
HINDWAREAP,1236,1176,10,,OK
HONASA,589,529,10,,OK
HUDCO,1236,1176,10,,OK
IBREALEST,1237,1177,10,,OK
IDBI,1236,1176,10,,OK
IFBIND,1236,1176,10,,OK
IFCI,1236,1176,10,,OK
IIFL,1236,1176,10,,OK
IIFLSEC,0,0,0,no raw data,ERROR
INDIAMART,1236,1176,10,,OK
INDIANB,1236,1176,10,,OK
INDIACEM,1236,1176,10,,OK
INDIGOPNTS,1236,1176,10,,OK
INDSWFTLAB,1235,1175,10,,OK
INFIBEAM,1237,1177,10,,OK
INTELLECT,1236,1176,10,,OK
IONEXCHANG,1011,951,10,,OK
ISGEC,1213,1153,10,,OK
JBCHEPHARM,1236,1176,10,,OK
JBMA,1236,1176,10,,OK
JMFINANCIL,1236,1176,10,,OK
JSWENERGY,1236,1176,10,,OK
JTEKTINDIA,1236,1176,10,,OK
JUBILANT,0,0,0,no raw data,ERROR
JUSTDIAL,1236,1176,10,,OK
JYOTHYLAB,1236,1176,10,,OK
KALPATPOWR,0,0,0,no raw data,ERROR
KALYANKJIL,1236,1176,10,,OK
KANSAINER,1235,1175,10,,OK
KARURVYSYA,1236,1176,10,,OK
KEC,1236,1176,10,,OK
KFINTECH,801,741,10,,OK
KIMS,1176,1116,10,,OK
KIRLOSENG,1235,1175,10,,OK
KIRLPNU,723,663,10,,OK
KNRCON,1236,1176,10,,OK
KOLTEPATIL,1235,1175,10,,OK
KPIL,682,622,10,,OK
KRBL,1236,1176,10,,OK
KSCL,1236,1176,10,,OK
LEMONTREE,1236,1176,10,,OK
LICI,957,897,10,,OK
LLOYDSENGG,607,547,10,,OK
LOTUSCHOCO,0,0,0,no raw data,ERROR
LUXIND,1236,1176,10,,OK
MANAPPURAM,1236,1176,10,,OK
MASFIN,1236,1176,10,,OK
MASTEK,1236,1176,10,,OK
MAXHEALTH,1236,1176,10,,OK
MCX,1236,1176,10,,OK
MEDPLUS,1053,993,10,,OK
METROBRAND,1054,994,10,,OK
MISHTANN,0,0,0,no raw data,ERROR
MKCL,0,0,0,no raw data,ERROR
MMTC,1236,1176,10,,OK
MOIL,1236,1176,10,,OK
MOTILALOFS,1236,1176,10,,OK
