ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
WELENT,2025-04-01,2025-04-07,473.48,443.78,477,226075.81,0.6129,443.78,-14166.9,-14816.12,-6.55,6,stop_loss
AXISCADES,2025-03-27,2025-04-08,890.0,829.15,259,230740.51,0.6363,829.15,-15760.15,-16420.16,-7.12,12,stop_loss
CHOLAFIN,2025-04-08,2025-04-15,1412.31,1554.25,149,210644.62,0.5042,1341.34,21149.06,20475.46,9.72,7,target_hit
AVANTIFEED,2025-04-09,2025-04-16,711.44,860.13,298,212221.13,0.6401,651.96,44309.62,43584.97,20.54,7,target_hit
SRF,2025-04-08,2025-04-22,2731.37,3042.51,77,210525.81,0.5466,2575.8,23957.78,23278.92,11.06,14,target_hit
BLUESTARCO,2025-04-08,2025-04-24,2022.63,1853.85,104,210563.87,0.5727,1853.85,-17553.12,-18149.07,-8.62,16,stop_loss
BEL,2025-04-08,2025-04-29,280.6,311.44,758,212907.49,0.5895,265.18,23376.72,22691.88,10.66,21,target_hit
MUTHOOTFIN,2025-04-16,2025-05-07,2035.09,2307.35,112,228158.01,0.5584,1926.19,30493.12,29748.34,13.04,21,target_hit
GALLANTT,2025-04-28,2025-05-07,446.31,415.53,513,229185.99,0.6707,415.53,-15790.14,-16445.43,-7.18,9,stop_loss
BAJAJHLDNG,2025-04-08,2025-05-09,11171.98,11122.37,19,212479.89,0.5021,10428.71,-942.59,-1577.51,-0.74,31,ema_reversal
LAURUSLABS,2025-04-30,2025-05-09,616.15,577.52,374,230670.54,0.5298,580.08,-14447.62,-15110.05,-6.55,9,ema_reversal
KSCL,2025-04-24,2025-05-09,1445.64,1339.86,161,232980.79,0.6099,1339.86,-17030.58,-17694.76,-7.59,15,stop_loss
KFINTECH,2025-05-08,2025-05-12,1061.69,1109.47,217,230617.12,0.5655,975.28,10368.26,9656.36,4.19,4,ema_reversal
ZEEL,2025-04-28,2025-05-14,105.39,121.12,2171,229030.49,0.6043,99.1,34149.83,33395.13,14.58,16,target_hit
SBFC,2025-05-08,2025-05-14,97.7,110.97,2370,231780.55,0.5803,92.39,31449.9,30692.35,13.24,6,target_hit
PRESTIGE,2025-05-09,2025-05-16,1268.54,1439.76,178,226025.92,0.5403,1200.05,30477.16,29738.81,13.16,7,target_hit
CHAMBLFERT,2025-05-15,2025-05-19,635.07,614.49,376,239025.11,0.5524,595.84,-7738.08,-8438.96,-3.53,4,ema_reversal
KSCL,2025-05-15,2025-05-19,1355.01,1342.07,176,238720.24,0.5548,1231.2,-2277.44,-2988.33,-1.25,4,ema_reversal
ADANIENSOL,2025-05-13,2025-05-22,890.0,869.0,261,232522.29,0.5096,826.73,-5481.0,-6166.91,-2.65,9,ema_reversal
CHAMBLFERT,2025-05-19,2025-05-22,614.49,577.43,393,241736.06,0.5175,577.43,-14564.58,-15259.93,-6.31,3,stop_loss
POLYMED,2025-05-19,2025-05-26,2426.74,2405.78,99,240487.51,0.5013,2250.44,-2075.04,-2791.63,-1.16,7,ema_reversal
GMRAIRPORT,2025-05-13,2025-06-02,88.06,84.05,2640,232710.88,0.5382,83.65,-10586.4,-11262.66,-4.84,20,ema_reversal
HINDPETRO,2025-05-13,2025-06-02,376.12,395.02,618,232674.6,0.5246,355.09,11680.2,10959.51,4.71,20,sector_rotation
RALLIS,2025-05-22,2025-05-30,278.62,321.57,857,239016.12,0.6281,257.14,36808.15,36018.2,15.07,8,target_hit
INDIACEM,2025-06-02,2025-06-03,314.55,349.25,777,244649.76,0.602,297.2,26961.9,26174.76,10.7,1,target_hit
GOKEX,2025-05-23,2025-06-09,969.75,941.0,247,239767.78,0.5425,890.12,-7101.25,-7805.63,-3.26,17,ema_reversal
DATAPATTNS,2025-05-26,2025-06-06,2721.83,3231.66,86,234311.46,0.5444,2466.92,43845.38,43055.46,18.38,11,target_hit
REDINGTON,2025-06-02,2025-06-10,252.97,286.68,967,244866.61,0.575,236.11,32597.57,31798.51,12.99,8,target_hit
KSCL,2025-05-19,2025-06-13,1342.07,1342.07,180,241814.17,0.5867,1223.46,0.0,-724.72,-0.3,25,ema_reversal
CEATLTD,2025-06-09,2025-06-17,3764.49,3580.1,67,252473.05,0.5147,3580.1,-12354.13,-13086.08,-5.18,8,stop_loss
GALLANTT,2025-06-11,2025-06-18,465.13,444.22,551,256542.92,0.6086,433.78,-11521.41,-12267.23,-4.78,7,ema_reversal
ESTER,2025-06-04,2025-06-20,135.55,125.55,1851,251153.95,0.614,124.57,-18510.0,-19225.69,-7.65,16,ema_reversal
CLEAN,2025-06-09,2025-06-19,1491.2,1408.7,170,253757.5,0.5829,1408.7,-14025.0,-14757.46,-5.82,10,stop_loss
ANGELONE,2025-06-13,2025-06-19,291.99,275.47,868,253700.77,0.6152,275.47,-14339.36,-15071.02,-5.94,6,stop_loss
CANBK,2025-06-18,2025-06-19,109.23,104.93,2246,245575.91,0.5559,104.93,-9657.8,-10374.48,-4.22,1,stop_loss
JSL,2025-06-18,2025-06-19,687.37,655.94,356,244948.42,0.5375,655.94,-11189.08,-11900.81,-4.86,1,stop_loss
ZEEL,2025-06-20,2025-06-23,124.73,139.41,1919,239596.23,0.5902,118.86,28170.92,27396.51,11.43,3,target_hit
KRBL,2025-06-20,2025-06-24,342.01,342.01,700,239646.41,0.5459,327.77,0.0,-718.22,-0.3,4,ema_reversal
EIDPARRY,2025-06-02,2025-06-25,948.7,1041.87,257,244059.72,0.5845,902.12,23944.69,23165.35,9.49,23,target_hit
ANGELONE,2025-06-24,2025-06-25,295.99,282.89,831,246213.66,0.5721,282.89,-10886.1,-11602.23,-4.71,1,stop_loss
CANBK,2025-06-20,2025-06-30,104.89,113.52,2283,239703.33,0.5458,101.44,19702.29,18944.49,7.9,10,target_hit
UNIONBANK,2025-06-20,2025-06-30,134.98,147.75,1773,239558.86,0.5754,129.87,22641.21,21877.97,9.13,10,target_hit
HONASA,2025-06-24,2025-07-01,307.0,310.5,799,245538.29,0.6029,293.33,2796.5,2055.03,0.84,7,sector_rotation
AVALON,2025-06-26,2025-07-03,849.05,836.9,293,249020.42,0.4861,798.36,-3559.95,-4299.15,-1.73,7,sector_rotation
DATAPATTNS,2025-06-26,2025-07-03,2796.51,2951.15,89,249138.28,0.5468,2571.2,13762.96,12988.77,5.21,7,sector_rotation
ECLERX,2025-06-20,2025-07-07,1734.12,1694.58,138,239547.87,0.5566,1652.4,-5456.52,-6163.53,-2.57,17,ema_reversal
PRESTIGE,2025-07-01,2025-07-04,1668.08,1584.54,151,252131.96,0.5219,1584.54,-12614.54,-13344.95,-5.29,3,stop_loss
IBREALEST,2025-07-03,2025-07-10,119.0,119.09,2107,250983.73,0.5949,111.64,189.63,-562.95,-0.22,7,sector_rotation
EXICOM,2025-07-07,2025-07-11,192.5,180.3,1294,249344.09,0.6007,177.74,-15786.8,-16502.51,-6.62,4,ema_reversal
BANDHANBNK,2025-07-07,2025-07-14,177.88,173.42,1400,249281.03,0.5183,170.28,-6244.0,-6978.61,-2.8,7,ema_reversal
GODREJIND,2025-07-07,2025-07-11,1169.0,1093.3,213,249246.0,0.5475,1093.3,-16124.1,-16838.84,-6.76,4,stop_loss
