date,rules_only,rules_ml,hybrid
2023-07-19,1030161.18734,1226407.089999999,1226407.089999999
2023-07-20,1030761.08734,1226407.089999999,1226407.089999999
2023-07-21,1031281.61368,1226407.089999999,1226407.089999999
2023-07-24,1026135.9271,1226407.089999999,1226407.089999999
2023-07-25,1033820.92336,1226407.089999999,1226407.089999999
2023-07-26,1031998.2543800002,1226407.089999999,1226407.089999999
2023-07-27,1041152.54438,1228763.159999999,1228763.159999999
2023-07-28,1043719.37438,1245124.7899999989,1245124.7899999989
2023-07-31,1046564.6787,1261017.5199999989,1261017.5199999989
2023-08-01,1050364.0487000002,1261017.5199999989,1261017.5199999989
2023-08-02,1041449.2987,1246916.569999999,1246916.569999999
2023-08-03,1042198.4418,1246916.569999999,1246916.569999999
2023-08-04,1046018.2918,1261196.2599999988,1261196.2599999988
2023-08-07,1053335.94644,1235699.6899999988,1235699.6899999988
2023-08-08,1059133.96644,1235699.6899999988,1235699.6899999988
2023-08-09,1058261.4364,1260899.9399999988,1260899.9399999988
2023-08-10,1058381.2654,1260899.9399999988,1260899.9399999988
2023-08-11,1053766.54732,1260899.9399999988,1260899.9399999988
2023-08-14,1048024.8869200002,1248458.1799999988,1248458.1799999988
2023-08-15,1000000.0,1248458.1799999988,1248458.1799999988
2023-08-16,1045769.73588,1248458.1799999988,1248458.1799999988
2023-08-17,1046133.37552,1248458.1799999988,1248458.1799999988
2023-08-18,1045006.4255200002,1248458.1799999988,1248458.1799999988
2023-08-21,1047441.26016,1247272.5899999987,1247272.5899999987
2023-08-22,1051990.5522600005,1247272.5899999987,1247272.5899999987
2023-08-23,1063648.76226,1247272.5899999987,1247272.5899999987
2023-08-24,1060502.1890600002,1247272.5899999987,1247272.5899999987
2023-08-25,1056998.02954,1266510.3499999987,1266510.3499999987
2023-08-28,1057935.7019600002,1266510.3499999987,1266510.3499999987
2023-08-29,1061926.32196,1266510.3499999987,1266510.3499999987
2023-08-30,1065452.9171600002,1266160.5899999987,1266160.5899999987
2023-08-31,1073553.3875600002,1250828.4499999988,1250828.4499999988
2023-09-01,1080365.79324,1242354.1899999988,1242354.1899999988
2023-09-04,1086564.9977400005,1279935.6199999987,1279935.6199999987
2023-09-05,1095347.5946700005,1279935.6199999987,1279935.6199999987
2023-09-06,1089119.2246700004,1279935.6199999987,1279935.6199999987
2023-09-07,1100295.1543500002,1282896.6899999988,1282896.6899999988
2023-09-08,1102016.0043500003,1325309.7099999988,1325309.7099999988
2023-09-11,1108434.9043500002,1337660.3399999987,1337660.3399999987
2023-09-12,1066405.75123,1302041.0899999987,1302041.0899999987
2023-09-13,1075613.4612300002,1274531.4899999986,1274531.4899999986
2023-09-14,1086995.1012300004,1274531.4899999986,1274531.4899999986
2023-09-15,1088274.1583,1295153.6899999983,1295153.6899999983
2023-09-18,1089041.7847000004,1295153.6899999983,1295153.6899999983
2023-09-19,1000000.0,1295153.6899999983,1295153.6899999983
2023-09-20,1092922.7995,1295153.6899999983,1295153.6899999983
2023-09-21,1077290.3765000002,1295153.6899999983,1295153.6899999983
2023-09-22,1096670.06242,1295153.6899999983,1295153.6899999983
2023-09-25,1093833.4945800002,1295153.6899999983,1295153.6899999983
2023-09-26,1101082.5245800002,1299372.0899999985,1299372.0899999985
2023-09-27,1101758.14458,1299372.0899999985,1299372.0899999985
2023-09-28,1100947.92458,1291276.4199999983,1291276.4199999983
2023-09-29,1111522.4239400004,1291276.4199999983,1291276.4199999983
2023-10-02,1000000.0,1291276.4199999983,1291276.4199999983
2023-10-03,1116576.6977000004,1323490.2699999986,1323490.2699999986
2023-10-04,1107812.6677000003,1323490.2699999986,1323490.2699999986
2023-10-05,1104456.9677000002,1322336.1899999983,1322336.1899999983
2023-10-06,1113936.5977,1325996.6299999985,1325996.6299999985
2023-10-09,1095692.4130400002,1304512.8499999985,1304512.8499999985
2023-10-10,1100907.8965400003,1304512.8499999985,1304512.8499999985
2023-10-11,1103431.5384400005,1304512.8499999985,1304512.8499999985
2023-10-12,1113484.10844,1304512.8499999985,1304512.8499999985
2023-10-13,1111262.2737400003,1304512.8499999985,1304512.8499999985
2023-10-16,1106981.1037400004,1304512.8499999985,1304512.8499999985
2023-10-17,1107628.8637400002,1304512.8499999985,1304512.8499999985
2023-10-18,1088946.3392600005,1304512.8499999985,1304512.8499999985
2023-10-19,1083067.4443000006,1304512.8499999985,1304512.8499999985
2023-10-20,1073624.6118800002,1310816.4899999984,1310816.4899999984
2023-10-23,1053160.0743000002,1253233.5999999985,1253233.5999999985
2023-10-24,1000000.0,1253233.5999999985,1253233.5999999985
2023-10-25,1052419.6382400002,1242583.4499999986,1242583.4499999986
2023-10-26,1052853.2382400003,1224260.2999999986,1224260.2999999986
2023-10-27,1053138.7182400003,1224260.2999999986,1224260.2999999986
2023-10-30,1054710.8632800002,1224260.2999999986,1224260.2999999986
2023-10-31,1052230.6305300002,1224260.2999999986,1224260.2999999986
2023-11-01,1052095.7005300005,1224260.2999999986,1224260.2999999986
