ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
BEL,2024-03-22,2024-04-02,193.61,216.79,933,180818.77,0.595,182.02,21626.94,21041.77,11.97,11,target_hit
ADANIPOWER,2024-04-02,2024-04-04,115.0,128.3,1649,189824.63,0.5822,108.35,21931.7,21318.93,11.57,2,target_hit
BLUESTARCO,2024-03-18,2024-04-08,1253.8,1403.2,146,183237.85,0.5757,1179.1,21812.4,21219.61,11.92,21,target_hit
INTELLECT,2024-03-22,2024-04-12,1068.39,997.79,169,180738.47,0.6785,981.35,-11931.4,-12449.21,-6.61,21,ema_reversal
IFBIND,2024-04-09,2024-04-15,1491.0,1389.16,132,197008.81,0.5731,1389.16,-13442.88,-14006.43,-6.83,6,stop_loss
HUDCO,2024-03-18,2024-04-26,179.95,221.61,883,159054.75,0.623,159.12,36785.78,36235.52,23.15,39,target_hit
KIRLOSENG,2024-03-19,2024-04-26,830.93,966.49,217,180492.12,0.628,763.15,29416.52,28816.75,16.31,38,target_hit
NTPC,2024-04-19,2024-05-02,327.08,355.16,592,193824.99,0.5575,313.04,16623.36,16009.22,8.59,13,target_hit
JSWENERGY,2024-04-18,2024-05-08,597.71,563.76,323,193253.39,0.6478,563.76,-10965.85,-11523.1,-5.68,20,stop_loss
CUB,2024-04-22,2024-05-09,153.13,146.41,1268,194363.01,0.5997,146.41,-8520.96,-9086.42,-4.39,17,stop_loss
SAIL,2024-05-07,2024-05-09,159.74,149.92,1274,203712.27,0.6121,149.92,-12510.68,-13096.18,-6.15,2,stop_loss
VIJAYA,2024-05-07,2024-05-10,669.4,740.7,304,203701.1,0.5518,633.75,21675.2,21021.36,10.65,3,target_hit
GAIL,2024-05-09,2024-05-13,187.54,178.89,1067,200305.29,0.5332,177.79,-9229.55,-9811.41,-4.61,4,ema_reversal
ADANIPOWER,2024-04-15,2024-05-21,117.8,131.6,1647,194210.62,0.5967,110.9,22728.6,22101.09,11.71,36,target_hit
BHEL,2024-05-10,2024-05-21,274.14,311.0,729,200047.91,0.6048,255.71,26870.94,26217.65,13.45,11,target_hit
BIOCON,2024-05-08,2024-05-24,295.2,329.46,673,198868.27,0.603,278.07,23056.98,22414.86,11.61,16,target_hit
