date,total_value
2024-10-09,1111123.14
2024-10-10,1111071.98
2024-10-11,1111746.71
2024-10-14,1110982.73
2024-10-15,1112545.2
2024-10-16,1112634.45
2024-10-17,1110944.65
2024-10-18,1111196.93
2024-10-21,1109279.84
2024-10-22,1107137.84
2024-10-23,1108083.72
2024-10-24,1108083.72
2024-10-25,1108083.72
2024-10-28,1108083.72
2024-10-29,1108256.13
2024-10-30,1109385.59
2024-10-31,1105955.47
2024-11-01,1106012.17
2024-11-04,1103957.05
2024-11-05,1103957.05
2024-11-06,1103957.05
2024-11-07,1103506.32
2024-11-08,1102712.88
2024-11-11,1100774.52
2024-11-12,1098950.15
2024-11-13,1098950.15
2024-11-14,1098950.15
2024-11-18,1098950.15
2024-11-19,1098950.15
2024-11-21,1098950.15
2024-11-22,1098950.15
2024-11-25,1098950.15
2024-11-26,1098950.15
2024-11-27,1098950.15
2024-11-28,1098950.15
2024-11-29,1098950.15
2024-12-02,1098950.15
2024-12-03,1098950.15
2024-12-04,1098950.15
2024-12-05,1098950.15
2024-12-06,1098950.15
2024-12-09,1098950.15
2024-12-10,1098950.15
2024-12-11,1098950.15
2024-12-12,1098950.15
2024-12-13,1098950.15
2024-12-16,1098950.15
2024-12-17,1098950.15
2024-12-18,1098950.15
2024-12-19,1098950.15
2024-12-20,1098950.15
2024-12-23,1098950.15
2024-12-24,1098950.15
2024-12-26,1098950.15
2024-12-27,1098950.15
2024-12-30,1098950.15
2024-12-31,1098950.15
2025-01-01,1098950.15
2025-01-02,1098950.15
2025-01-03,1098950.15
2025-01-06,1098950.15
2025-01-07,1098950.15
2025-01-08,1098950.15
2025-01-09,1098950.15
2025-01-10,1098950.15
2025-01-13,1098950.15
2025-01-14,1098950.15
2025-01-15,1098950.15
2025-01-16,1098950.15
2025-01-17,1098950.15
2025-01-20,1098950.15
2025-01-21,1098950.15
2025-01-22,1098950.15
2025-01-23,1098950.15
2025-01-24,1098950.15
2025-01-27,1098950.15
2025-01-28,1098950.15
2025-01-29,1098275.69
2025-01-30,1096587.65
2025-01-31,1096769.09
2025-02-01,1096720.49
2025-02-03,1096583.6
2025-02-04,1093994.47
2025-02-05,1093994.47
2025-02-06,1093994.47
2025-02-07,1093994.47
2025-02-10,1093994.47
2025-02-11,1093994.47
2025-02-12,1093994.47
2025-02-13,1093994.47
2025-02-14,1093994.47
2025-02-17,1093994.47
2025-02-18,1093994.47
2025-02-19,1093994.47
2025-02-20,1093994.47
2025-02-21,1093994.47
2025-02-24,1093994.47
2025-02-25,1093994.47
2025-02-27,1093994.47
2025-02-28,1093994.47
2025-03-03,1093994.47
2025-03-04,1093994.47
2025-03-05,1093994.47
2025-03-06,1093994.47
2025-03-07,1093994.47
2025-03-10,1093994.47
2025-03-11,1093994.47
2025-03-12,1093994.47
2025-03-13,1093994.47
2025-03-17,1093994.47
2025-03-18,1093994.47
2025-03-19,1093994.47
2025-03-20,1093994.47
2025-03-21,1093994.47
2025-03-24,1093994.47
2025-03-25,1093994.47
2025-03-26,1093994.47
2025-03-27,1093994.47
2025-03-28,1093994.47
2025-04-01,1093994.47
2025-04-02,1093994.47
2025-04-03,1093994.47
2025-04-04,1093994.47
2025-04-07,1093994.47
2025-04-08,1093994.47
2025-04-09,1093994.47
2025-04-11,1093994.47
2025-04-15,1093994.47
2025-04-16,1093994.47
2025-04-17,1093994.47
2025-04-21,1093994.47
2025-04-22,1093994.47
2025-04-23,1093994.47
2025-04-24,1093994.47
2025-04-25,1093994.47
2025-04-28,1093994.47
2025-04-29,1093994.47
2025-04-30,1093994.47
2025-05-02,1093994.47
2025-05-05,1093994.47
2025-05-06,1093994.47
2025-05-07,1093994.47
2025-05-08,1093994.47
2025-05-09,1093994.47
2025-05-12,1093994.47
2025-05-13,1093994.47
2025-05-14,1093994.47
2025-05-15,1093994.47
2025-05-16,1093994.47
2025-05-19,1093994.47
2025-05-20,1093994.47
2025-05-21,1093994.47
2025-05-22,1093994.47
2025-05-23,1093994.47
2025-05-26,1093994.47
2025-05-27,1093994.47
2025-05-28,1093994.47
2025-05-29,1093994.47
2025-05-30,1093994.47
2025-06-02,1093994.47
2025-06-03,1093994.47
2025-06-04,1093994.47
2025-06-05,1093994.47
2025-06-06,1093994.47
2025-06-09,1093994.47
2025-06-10,1093994.47
2025-06-11,1094091.96
